% # columns="iteration, evaluation, min max(neg(.)) min(pos(.)) max correlation, correlation matrix principle axes lengths  (sorted square roots of eigenvalues of correlation matrix)", seed=550052, Sun Dec 15 14:14:29 2019
1 12 -0.01939202504985133 -0.0002628773544069022 5.513197866664355e-05 0.02800274777993166 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
2 24 -0.04127368452768766 -0.0007239049847145451 0.0002438899320466229 0.04230709397351254 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
3 36 -0.06027320306870394 -0.00024334296274360488 0.0005320013266216175 0.060186308001618935 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
4 48 -0.08683881852100392 -0.00024302329722374852 0.0004932371411302639 0.060157514660298506 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
5 60 -0.09439923137323887 -0.00034631248186125455 6.325525965945776e-05 0.07748507128341837 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
6 72 -0.1250856566620007 -0.0007764457110909543 0.00014241519523595155 0.10135399464724874 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
7 84 -0.15599960458245613 -0.00020409758767608182 8.168826185729925e-05 0.13542199227514534 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
8 96 -0.17047521111382494 -0.00021438009462737315 0.0008655423004078964 0.14727360933864833 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
9 108 -0.18943251697843316 -0.0002913871914891112 0.0019546427791560517 0.1698016980245461 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
10 120 -0.18681166741248845 -0.0001366611012419182 0.0002464526575508231 0.17446304838046905 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
11 132 -0.19955485278976362 -0.0005474158476041656 3.0531218377952565e-05 0.16822435378800227 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
12 144 -0.2023406190408678 -0.0008993405816231713 0.00011151930062479048 0.15669586705556826 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
13 156 -0.20141846860500243 -0.0014804842910583343 0.00010606645729023816 0.16826326944141956 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
14 168 -0.1950920632685323 -0.0003909372531768137 0.0005926637525884921 0.16439563950348485 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
15 180 -0.18905017091722098 -0.000758136723536234 0.0002561919288928685 0.1789817804903873 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
16 192 -0.18029233902064978 -0.0008651044635203426 0.003443446195813982 0.18510649010841604 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
17 204 -0.1809324467701422 -0.0007545629760858378 0.000651117279221794 0.1975680582757992 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
18 216 -0.18287735731592103 -0.0001888527438869374 0.0013253977076331384 0.20592196373870983 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
19 228 -0.1905720941886997 -0.00012279781891470247 0.00032805447210164054 0.21075296153069656 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
20 240 -0.19126526776163422 -0.00011062543390507353 0.0011865577199006157 0.22128606157921768 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
21 252 -0.1983570242260974 -0.00040575278397792316 0.00031319169395556894 0.21933036598665648 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
22 264 -0.19842369419068767 -0.0001712207625493451 0.00013481606115580747 0.21336394707528675 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
23 276 -0.1962120079482383 -0.0005426265061086267 0.000480326421570905 0.21922205253911514 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
24 288 -0.2075662741914357 -2.5955907919557086e-05 0.0002644286262346071 0.22716790390008867 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
25 300 -0.2038660722954658 -0.00022906573741577997 0.001384968379605439 0.21950345376816596 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
26 312 -0.2101423015197817 -0.0013213074930467418 2.5380776388964174e-05 0.22819919521920531 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
27 324 -0.22906612136034704 -0.0002975715765357947 0.0005733404888654721 0.22722939832069117 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
