% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=550052, Sun Dec 15 14:14:29 2019, <python>{}</python>
1 12 0.9338449802450034 1.000047501128143 -5.607084144414839 -5.6070841444148387e+00 -4.523172643019407 -2.90798887269281   
2 24 0.9189378236066371 1.0961553846739223 -7.306892923712912 -7.3068929237129119e+00 -5.067406487315549 -3.664724723777937   
3 36 0.9385859147042817 1.142433201501711 -8.29290727219262 -8.2929072721926200e+00 -6.909917115895004 -5.5963982279293125   
4 48 0.9873500345129943 1.2145294826930302 -8.359027528018238 -8.3590275280182382e+00 -7.494087680142287 -5.453107740522234   
5 60 1.0159952759719881 1.2918526585994148 -10.311562192108042 -1.0311562192108042e+01 -8.140287136558843 -6.720075977470439   
6 72 1.063332744410775 1.338822919010145 -10.399510682278736 -1.0399510682278736e+01 -9.01582743819571 -7.00885831243758   
7 84 1.1216393289550268 1.411553029203752 -11.488684640524855 -1.1488684640524855e+01 -10.129959043270718 -8.12423872692522   
8 96 1.2242288257416951 1.4588104783351499 -13.86787044961426 -1.3867870449614260e+01 -10.621806044158502 -8.277384255505813   
9 108 1.3493804801107592 1.505267291188255 -15.250320321946376 -1.5250320321946376e+01 -12.951021153726082 -11.129804510736587   
10 120 1.5123179414210421 1.5416697413398006 -18.997065377232104 -1.8997065377232104e+01 -14.70952827366947 -11.821041915789204   
11 132 1.6571426430974598 1.5823508450998558 -18.997065377232104 -1.8303882649071941e+01 -17.09056643057958 -14.176947297798545   
12 144 1.8536321985215425 1.5942400212697394 -21.770776144303696 -2.1770776144303696e+01 -18.092536098982574 -13.785044763832913   
13 156 2.105801814291592 1.6084337628159506 -24.431795937790387 -2.4431795937790387e+01 -20.992859798466302 -18.800961487151937   
14 168 2.3469607804697423 1.63132379463186 -27.077644833000065 -2.7077644833000065e+01 -23.035987494662336 -18.11609611650324   
15 180 2.5645691344358346 1.6259367777714475 -28.225382413082087 -2.8225382413082087e+01 -25.013662463658047 -22.859037414044742   
16 192 2.840643726698793 1.649211280854778 -32.391883246838134 -3.2391883246838134e+01 -27.04106025211624 -18.496000880597347   
17 204 3.2700451381511915 1.6636401082662593 -39.752139801174586 -3.9752139801174586e+01 -31.470624778134194 -28.310175469588977   
18 216 3.715746227228167 1.6949462070686911 -43.76440526937989 -4.3764405269379893e+01 -36.93733819144808 -30.31930778978477   
19 228 4.27594837505714 1.6943228058860826 -49.924027620334655 -4.9924027620334655e+01 -41.113977607561274 -36.03921998404515   
20 240 4.882379844458396 1.7090406315055608 -55.51287364321888 -5.5512873643218882e+01 -45.07895302368908 -39.241498645313506   
21 252 5.591375578034166 1.7158979148392006 -63.36583907353957 -6.3365839073539568e+01 -52.58827346757421 -45.597900470554514   
22 264 6.342569639122465 1.7271170750072566 -71.75484257828312 -7.1754842578283117e+01 -58.935743813767196 -53.426655095785634   
23 276 7.387638390118213 1.7232203288413208 -85.7174403308596 -8.5717440330859603e+01 -70.08050998315592 -63.20030115622706   
24 288 8.836923722187857 1.7691708647494657 -104.59858263997833 -1.0459858263997833e+02 -78.28831516362513 -69.53701337252954   
25 300 10.264238597312941 1.810669958460432 -105.83404954381373 -1.0583404954381373e+02 -98.70876121133995 -77.05403970516718   
26 312 12.05247839743297 1.801574465366969 -130.89187883813216 -1.3089187883813216e+02 -104.14369974296427 -91.84719906378564   
27 324 14.3117771651536 1.8176352396432027 -145.20806162387413 -1.4520806162387413e+02 -121.33088464480792 -99.78885339726341   
28 336 16.608921155378766 1.851792417408124 -163.06142762844237 -1.6306142762844237e+02 -139.56102537510304 -108.63193863538618   
29 348 19.355343967594848 1.8510241111431223 -200.9277476260587 -2.0092774762605870e+02 -152.12081887040762 -120.73470697038732   
30 360 22.29414291214161 1.8829177602736362 -211.1044556167316 -2.1110445561673160e+02 -189.13074979314456 -159.27806616657836   
31 372 25.64641503024395 1.888895391743906 -273.8577876109365 -2.7385778761093650e+02 -188.72523402091488 -136.56583783688308   
32 384 28.184122190314472 1.8994643627239027 -273.8577876109365 -2.6411026991205676e+02 -228.73546904524835 -155.4788944486407   
33 396 32.619460670176366 1.8901057529536744 -363.26379103369544 -3.6326379103369544e+02 -262.04041050608936 -196.97617850274722   
34 408 38.00034091787427 1.9419092415951076 -412.3458578829795 -4.1234585788297949e+02 -337.62638197990884 -272.83285563526795   
35 420 44.132690750589354 1.9519559089880185 -435.9355119840849 -4.3593551198408488e+02 -397.73709928123867 -267.67234985443827   
36 432 51.13423049025525 1.8976404055391778 -491.0352733333264 -4.9103527333332642e+02 -453.0230730849869 -306.7088937428284   
37 444 58.54018446763892 1.8733475454822952 -565.8179406306047 -5.6581794063060465e+02 -490.3660063344578 -427.8293663256894   
38 456 66.39778423818191 1.8784548226971245 -651.1264021657703 -6.5112640216577029e+02 -517.0632169242574 -389.7030618845409   
39 468 73.09668986801184 1.8554228796402614 -688.8989641962694 -6.8889896419626939e+02 -577.2028448850753 -489.3386056609529   
40 480 81.45414670317425 1.8271173992370138 -752.993686007353 -7.5299368600735295e+02 -678.2294427296243 -467.0728600666989   
41 492 91.7323590939901 1.811086818479657 -876.1578715895641 -8.7615787158956414e+02 -723.0829475991196 -642.1742503469775   
42 504 103.51114506796353 1.8134894214687423 -1048.5831280622285 -1.0485831280622285e+03 -857.5963534784205 -674.1906770791252   
43 516 114.75380351899419 1.810680215831138 -1194.365471114906 -1.1943654711149061e+03 -921.2142518634394 -685.2602798098787   
